INP,CLS,TBT,LCP, PeakHeap
20.299,0,132,16429.5,99261822
20.074,0,140,16429.5,112235214
20.056,0,158.5,16430,103382369
18.912,0,145.5,16430,94141578
19.199,0,142,16430,114541395
19.118,0,166,16430,97901698
19.136,0,134.5,16431,133326472
19.513,0,147,16429.5,114649049
20.08,0,134.5,16429.5,114663400
19.422,0,137.5,16429.5,99198026
17.582,0,131,16430,106925866
19.218,0,132.5,16429.5,130088688
17.248,0,155,16429.5,96860595
21.188,0,148.5,16431,114540027
20.715,0,152.5,16430.5,114805036
19.185,0,132.5,16429.5,114763812
15.298,0,149,16430.5,97460959
18.702,0,141,16430,134112188
18.295,0,153.5,16429.5,113350699
17.177,0,134,16429.5,103146090
20.904,0,147.5,16430,111861751
17.537,0,151.5,16430,101801824
18.58,0,149,16429.5,119469752
20.005,0,135,16429.5,96965042
20.357,0,133,16430,106732925
19.672,0,153,16430,114633902
16.945,0,151.5,16429.5,114539059
20.601,0,131.5,16429.5,122447476
18.447,0,166,16429.5,114636693
19.161,0,148,16429.5,124987460
21.027,0,146,16429.5,119063382
19.607,0,134.5,16429.5,116608068
20.678,0,167.5,16429.5,121603455
20.736,0,150,16429.5,100440082
20.166,0,134,16429.5,126375996
20.769,0,141.5,16429.5,103594019
19.626,0,149.5,16430,121115004
20.592,0,150,16429.5,94110697
17.92,0,138.5,16429.5,116450250
18.642,0,141.5,16430,114634365
20.401,0,150,16429.5,116514159
16.907,0,163,16429.5,102428903
20.865,0,138,16429.5,111559283
20.214,0,159,16429.5,122944808
21.11,0,143,16429.5,116378167
17.587,0,143.5,16430,126538753
16.764,0,136.5,16430,114633713
19.952,0,135.5,16431,114771937
19.999,0,146,16430,126410625
20.019,0,135,16429.5,122910861
