INP,CLS,TBT,LCP, PeakHeap
18.528,0,30,14683,56964739
17.675,0,30,14683,40391080
19.79,0,35.5,14684,56998270
17.89,0,35,14685,62217441
19.873,0,35,14687,56532984
18.428,0,33,14683,56813918
17.929,0,32,14683,34194554
17.582,0,34,14683,60332598
18.817,0,31.5,14683,58884834
20.008,0,32,14684,65287251
18.624,0,30.5,14683,40144896
19.324,0,30,14683,52182210
18.776,0,33.5,14684,36554158
17.242,0,32.5,14683,54078431
17.396,0,30.5,14683,60702352
16.316,0,38.5,14683,69536945
19.774,0,31.5,14683,57168214
17.726,0,33,14683,41967852
17.2,0,36.5,14684,65992252
19.551,0,33,14683,54078663
17.719,0,30,14683,54782395
19.101,0,31,14683,61132944
20.405,0,35,14684,54021878
17.131,0,31,14683,56992934
16.993,0,41.5,14685,47561694
19.165,0,33.5,14683,45204242
16.483,0,30,14683,60419994
18.781,0,30,14683,45727536
17.086,0,38.5,14683,57749895
19.89,0,35,14685,60207246
19.387,0,33,14683,62978665
19.022,0,30.5,14684,63827824
21.089,0,39,14683,58362916
16.326,0,33.5,14686,70055296
18.515,0,32,14683,48339142
18.62,0,32.5,14683,36199932
19.63,0,35.5,14683,54809640
18.8,0,30,14683,48796870
19.087,0,31,14685,48143748
16.425,0,37,14683,51140824
20.006,0,32.5,14683,62054522
19.94,0,30.5,14683,47985626
18.08,0,34.5,14684,38552382
16.707,0,35.5,14685,71257173
18.741,0,32,14683,54780583
17.338,0,30,14683,58380796
18.376,0,33,14684,56968147
17.351,0,33,14684,57787998
17.735,0,33.5,14684,48146192
17.705,0,32,14683,57292859
20.039,0,37.5,14683,61607735
16.554,0,33.5,14683,58498634
17.047,0,35,14684,60067368
17.245,0,32.5,14683,67372372
17.37,0,30.5,14683,63568469
20.802,0,32,14683,54183748
17.876,0,40,14684,43777871
19.883,0,35.5,14684,62070308
16.913,0,30,14683,63306505
18.576,0,34.5,14683,63312500
16.785,0,31.5,14683,46148234
19.391,0,32,14683,67976391
18.436,0,30.5,14683,47550098
18.1,0,34,14684,36568280
19.247,0,35,14683,32911075
19.314,0,32.5,14683,53328360
18.159,0,34,14685,43940670
19.033,0,31.5,14683,47207296
20.433,0,35,14684,63078316
19.513,0,34,14683,34627288
19.795,0,30.5,14684,49576850
18.907,0,33.5,14683,40395526
18.37,0,34,14685,36955627
19.257,0,34,14686,58883060
